open,high,low,close,volume,News Sentiment,open_APPL,open_AMZN,open_AVGO,open_BRK.B,open_GOOGL,open_GOOG,open_META,open_MSFT,open_NVDA,open_SPY,moving_average,RSI,ema_short,ema_long,MACD,MACD_signal,bollinger_mid,bollinger_std,bollinger_upper,bollinger_lower,volatility,ATR,daily_return,monthly_return,annual_return
25.79,30.4192,23.3,23.83,-0.08790360566968047,-0.1788681000471115,-0.0284583953054085,-0.06834183379590009,-0.01849708890496915,-0.006246116496952503,-0.0184674237898248,0.0,0.0,-0.03500251906528584,10.5,-0.02000638319731607,19.50857142857143,0.0,23.880769230769232,-0.0001860551658934284,-0.004786324786323348,-0.0009572649572646696,19.50857142857143,2.676719740919577,24.862010910410582,14.155131946732276,2.676719740919577,3.17565,-0.002511511092507468,-0.002511511092507468,0.1146923398911679
25.0,25.92,20.27,21.96,-0.7377348894189826,-0.18470431864261627,-0.009432370669999024,0.0029428014616099674,0.020375023729169328,-0.003012050469991756,-0.021483747693761046,0.0,0.0,-0.009053737205250822,10.24,-0.00743713284508285,19.50857142857143,0.0,23.58526627218935,-0.00598944913382482,-0.1576555385102374,-0.03229691966785921,19.50857142857143,2.676719740919577,24.862010910410582,14.155131946732276,2.676719740919577,3.17565,-0.07847251363827101,-0.09198542805100185,0.1146923398911679
23.0,23.1,18.71,19.2,-0.4694100448055174,-0.20199045538902283,-0.015095672859666287,0.01837919080866257,0.007476670343020242,-0.0064308903302903175,-0.008275971512379243,0.0,0.0,0.011625534593622255,10.42,-0.00038785998740920036,19.50857142857143,0.0,22.91060992262176,-0.014274579698216439,-0.49579916135934,-0.12499736800615538,19.50857142857143,2.676719740919577,24.862010910410582,14.155131946732276,2.676719740919577,3.17565,-0.12568306010928965,-0.09198542805100185,0.1146923398911679
20.0,20.0,15.83,16.11,0.2896985989284193,-0.20632530748844147,0.0020339395633754975,-0.002437154250518603,0.015246310572873512,-0.018513136466308033,0.005374778639820832,0.0,0.0,0.014449890181059466,10.21,0.0051269761640568845,19.50857142857143,0.0,21.864362242218412,-0.023361657866762364,-1.0015720948011229,-0.3003123133651489,19.50857142857143,2.676719740919577,24.862010910410582,14.155131946732276,2.676719740919577,3.17565,-0.16093749999999996,-0.09198542805100185,0.1146923398911679
16.4,16.63,14.98,15.8,0.007948637066197861,-0.20709696412086487,-0.0020339395633754975,-0.007347305037343155,-0.049822333536829966,0.002059732963010319,-0.012898139844502943,0.0,0.0,0.005050515786068299,10.18,-0.004933027365931153,19.50857142857143,0.0,20.93138343572327,-0.02315610219350228,-1.4111483578133388,-0.5224795222547869,19.50857142857143,2.676719740919577,24.862010910410582,14.155131946732276,2.676719740919577,3.17565,-0.019242706393544307,-0.09198542805100185,0.1146923398911679
16.14,17.52,15.57,17.46,0.10803834925290623,-0.19463199377059937,0.046755889084438174,0.04608126482589281,0.047527175311034675,0.023512552948303345,0.034179094473230975,0.0,0.0,0.032220879011163106,10.7,0.03683850613392803,19.50857142857143,17.025641025641022,20.397324445611996,-0.01631991649054987,-1.5835383261811593,-0.7346912830400614,19.50857142857143,2.676719740919577,24.862010910410582,14.155131946732276,2.676719740919577,3.17565,0.1050632911392404,-0.09198542805100185,0.1146923398911679
17.58,17.9,16.55,17.4,-0.6438347351579843,-0.19825413823127747,-0.021526910946636058,0.013214339196157887,-0.0009195402946788889,-0.004279966251422351,0.03978871917076532,0.0,0.0,-0.011036286142885654,10.36,0.0012142158125607594,19.50857142857143,16.921508664627922,19.936197607825537,-0.01555760315328003,-1.7053419956866414,-0.9288214255693774,19.50857142857143,2.676719740919577,24.862010910410582,14.155131946732276,2.676719740919577,3.17565,-0.003436426116838587,-0.09198542805100185,0.1146923398911679
17.95,18.07,17.0,17.05,-0.6092719394655468,-0.19530995190143585,0.006363763667118327,0.010752791776261539,0.005047039848535828,0.0037773905403790664,0.000868340571119397,0.0,0.0,0.004101728474217747,10.35,0.004377597453217419,19.50857142857143,16.33858267716535,19.49216720662161,-0.015840599516316445,-1.8092583521859638,-1.1049088108926948,19.50857142857143,2.676719740919577,24.862010910410582,14.155131946732276,2.676719740919577,3.17565,-0.02011494252873547,-0.09198542805100185,0.1146923398911679
17.3938,18.64,16.9,18.14,0.1962610284312749,-0.21146199107170105,-0.008585077493334481,0.024152117371778914,0.020834086902842053,0.0022596042755100854,0.02070007498300086,0.0,0.0,0.02864831789245237,10.71,0.014302435268269242,19.50857142857143,24.444444444444443,19.28414148252598,-0.011054491339313355,-1.7831044052588112,-1.240547929765918,19.50857142857143,2.676719740919577,24.862010910410582,14.155131946732276,2.676719740919577,3.17565,0.06392961876832848,-0.09198542805100185,0.1146923398911679
17.94,20.15,17.7601,19.84,0.448086907327772,-0.2057296484708786,-0.027448826311553987,0.019202953442270854,0.008480300765933091,0.0021293926753447323,0.01569781136724835,0.0,0.0,0.01421824900227886,11.4,0.0014647993097911538,19.50857142857143,34.362934362934354,19.36965817752198,-0.004324428812391812,-1.606680607463936,-1.3137744653055217,19.50857142857143,2.676719740919577,24.862010910410582,14.155131946732276,2.676719740919577,3.17565,0.093715545755237,-0.09198542805100185,0.1146923398911679
