index,open,volume ,News Sentiment,open_APPL,open_AMZN,open_AVGO,open_BRK.B,open_GOOGL,open_GOOG,open_META,open_MSFT,open_NVDA,open_TSLA,RSI,ema_long,MACD,MACD_signal,bollinger_mid,bollinger_std,volatility,ATR,daily_return,monthly_return,annual_return
0,136.5,4006500,0.13118448853492737,80.0,68.06,16.5,2140.0,100.01,568.0,42.05,93.25,21.75,19.0,0.0,135.5625,0.0,0.0,138.30802142857144,2.4670884815221594,2.4670884815221594,1.955364285714278,-0.007146519133241047,0.027431627478100573,0.08344859382203773
1,135.9687,6516900,0.1559285670518875,78.0,69.75,16.5,2099.0,100.01,568.0,42.05,92.75,23.94,19.0,0.0,135.49073703703704,-0.07728319088317903,-0.015456638176635807,138.30802142857144,2.4670884815221594,2.4670884815221594,1.955364285714278,-0.007146519133241047,0.027431627478100573,0.08344859382203773
2,136.0,7222300,0.16719868779182434,81.62,68.19,16.5,2146.0,100.01,568.0,42.05,92.94,26.0,19.0,48.33342221748171,135.4914231824417,-0.06465454338845689,-0.025296219219000025,138.30802142857144,2.4670884815221594,2.4670884815221594,1.955364285714278,0.006733598972314292,0.027431627478100573,0.08344859382203773
3,136.75,7907500,0.17878764867782593,82.06,67.19,16.5,2163.0,100.01,568.0,42.05,92.31,27.75,19.0,66.66551973299413,135.56844368744603,0.02823746867593968,-0.014589481640012085,138.30802142857144,2.4670884815221594,2.4670884815221594,1.955364285714278,0.007610332103321182,0.027431627478100573,0.08344859382203773
4,138.625,7431500,0.18685993552207947,84.62,64.75,16.5,2210.0,100.01,568.0,42.05,91.81,30.0,19.0,77.20524222959476,135.73929971059817,0.2078920368896604,0.02990682206592242,138.30802142857144,2.4670884815221594,2.4670884815221594,1.955364285714278,0.009842438944358323,0.027431627478100573,0.08344859382203773
5,137.0,4649200,0.15950711071491241,87.75,64.81,16.5,2120.0,100.01,568.0,42.05,84.81,27.38,19.0,77.85650613700274,135.9067589912946,0.35624941042587466,0.09517533973791287,138.30802142857144,2.4670884815221594,2.4670884815221594,1.955364285714278,0.0009066183136898776,0.027431627478100573,0.08344859382203773
6,138.5,4533700,0.15983523428440094,94.37,80.88,16.5,2070.0,100.01,568.0,42.05,89.75,29.0,19.0,60.05465444287741,135.96574721416167,0.36496758729410317,0.14913378924915094,138.30802142857144,2.4670884815221594,2.4670884815221594,1.955364285714278,-0.009397826086956496,0.027431627478100573,0.08344859382203773
7,136.25,6405600,0.15600712597370148,88.25,71.56,16.5,1975.0,100.01,568.0,42.05,88.12,28.72,19.0,66.1208804354329,136.09559556866822,0.4486554171789692,0.20903811483511459,138.30802142857144,2.4670884815221594,2.4670884815221594,1.955364285714278,0.007429238985802167,0.027431627478100573,0.08344859382203773
8,138.1875,4794100,0.15343628823757172,91.59,74.75,16.5,1975.0,100.01,568.0,42.05,88.25,28.38,19.0,69.66487702339043,136.27369960061873,0.5714358489442759,0.28151766165694686,138.30802142857144,2.4670884815221594,2.4670884815221594,1.955364285714278,0.005673158401872769,0.027431627478100573,0.08344859382203773
9,139.25,11802900,0.1746489554643631,91.94,73.75,16.5,1950.0,100.01,568.0,42.05,89.75,31.69,19.0,74.01392377478821,136.53120333390623,0.7608343541855334,0.3773810001626642,138.30802142857144,2.4670884815221594,2.4670884815221594,1.955364285714278,0.00902527075812265,0.027431627478100573,0.08344859382203773
10,139.8437,2187500,0.2143407016992569,89.62,75.63,16.5,1935.0,100.01,568.0,42.05,88.25,32.22,19.0,74.95633911793976,136.79393642028356,0.926726238870998,0.487250047904331,138.30802142857144,2.4670884815221594,2.4670884815221594,1.955364285714278,0.0023477638640430065,0.027431627478100573,0.08344859382203773
11,140.5625,7544800,0.2286914587020874,90.0,74.25,16.5,1950.0,100.01,568.0,42.05,86.94,32.13,19.0,77.82833768800958,137.12401520396625,1.1396224307029854,0.6177245244640619,138.30802142857144,2.4670884815221594,2.4670884815221594,1.955364285714278,0.008366047226511464,0.027431627478100573,0.08344859382203773
12,142.25,9459000,0.23871298134326935,90.69,77.94,16.5,1892.0,100.01,568.0,42.05,86.44,35.0,19.0,78.61316417938635,137.45742148515393,1.323348821104645,0.7588493837921786,138.30802142857144,2.4670884815221594,2.4670884815221594,1.955364285714278,0.0026548672566371057,0.027431627478100573,0.08344859382203773
13,142.4375,4491000,0.2363482117652893,91.06,76.75,16.5,1891.0,100.01,568.0,42.05,84.94,36.44,19.0,80.45782696072945,137.84020507884622,1.531985180295635,0.91347654309287,138.30802142857144,2.4670884815221594,2.4670884815221594,1.955364285714278,0.007060900264783676,0.027431627478100573,0.08344859382203773
14,142.4062,4832100,0.21471697092056274,89.5,77.88,16.5,1918.0,100.01,568.0,42.05,84.44,40.13,19.0,79.5996211248497,138.18537507300576,1.6680166847296505,1.0643845714202262,138.80355714285716,2.5678762535228516,2.5678762535228516,1.9218785714285644,-0.0008764241893076674,0.027431627478100573,0.08344859382203773
15,142.4375,4155400,0.22187110781669617,91.75,77.88,16.5,1880.0,100.01,568.0,42.05,89.62,43.97,19.0,86.52123100896,138.50265840093127,1.753088470998705,1.202125351335922,139.36605714285716,2.43377733312904,2.43377733312904,1.8392857142857082,-0.00021964912280691973,0.027431627478100573,0.08344859382203773
16,142.8437,5918000,0.20615123212337494,91.75,80.38,16.5,1930.0,100.01,568.0,42.05,89.25,38.25,19.0,75.7017914445714,138.70384666752895,1.7000468394887207,1.3017096489664817,139.77453571428572,2.2040602168261083,2.2040602168261083,1.88838571428571,-0.008773856994553908,0.027431627478100573,0.08344859382203773
